               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.024431,            0.012385,                   0,             0.92659,             0.96359,             0.97469,             0.59832,            0.029588,            0.012152,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.025975,            0.012279,                   0,             0.93094,             0.94958,             0.97174,             0.57618,            0.031334,            0.012096,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.024706,            0.012179,                   0,             0.92509,             0.94118,             0.96759,             0.58141,            0.030309,            0.012411,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.024276,            0.012213,                   0,             0.94657,             0.91877,             0.96305,             0.58186,             0.03039,            0.012498,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.023773,            0.011594,                   0,              0.9507,             0.91822,             0.96377,             0.59143,            0.029359,            0.012834,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.023764,            0.012305,                   0,             0.95969,             0.93277,             0.97286,             0.58616,            0.030587,            0.012619,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.023203,            0.012317,                   0,             0.94845,             0.92766,              0.9662,               0.571,            0.030785,            0.012844,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.022692,            0.011585,                   0,             0.91971,             0.93046,             0.96084,             0.57967,            0.030958,            0.013095,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.023845,            0.011942,                   0,             0.95364,             0.92717,             0.96837,             0.57118,             0.03084,            0.012673,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024152,            0.011693,                   0,             0.94642,             0.91877,             0.97017,             0.58682,            0.030603,            0.012558,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.022001,            0.011689,                   0,             0.94205,             0.94678,             0.98044,             0.59402,            0.030169,            0.012247,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.022158,            0.011812,                   0,             0.95333,             0.91877,             0.97104,             0.58941,            0.029589,            0.012826,                   0,            0.005149,            0.005149,            0.005149
                  51,             0.02148,            0.011461,                   0,             0.91839,             0.94561,             0.96314,             0.58373,            0.029164,            0.013216,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.021877,              0.0113,                   0,             0.94305,             0.92771,             0.97478,             0.58698,             0.03007,            0.012493,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.021989,            0.011263,                   0,             0.95619,             0.92997,             0.97757,             0.58309,            0.030225,            0.012534,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.021227,            0.011124,                   0,             0.94417,             0.93838,             0.96956,             0.58743,            0.030611,            0.012447,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.021111,            0.011222,                   0,             0.93833,             0.94958,             0.97395,              0.5798,            0.030963,            0.012709,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.020707,            0.010495,                   0,             0.93922,             0.95229,             0.98013,             0.60319,            0.029752,            0.012103,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.020522,             0.01065,                   0,             0.96054,             0.90756,             0.96627,             0.59339,            0.029775,            0.012704,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.02031,            0.010775,                   0,             0.93579,             0.93277,             0.96513,             0.58796,             0.03007,            0.012663,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.020099,            0.010502,                   0,             0.96467,             0.92997,             0.96744,             0.58133,            0.030611,             0.01284,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.020674,            0.011094,                   0,             0.95624,             0.91817,             0.96801,             0.58483,            0.029873,            0.012969,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.019901,            0.010316,                   0,             0.94637,             0.93912,             0.97563,             0.58325,            0.030414,            0.012854,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.019706,            0.010267,                   0,             0.94513,             0.92157,             0.96939,             0.58125,            0.029932,             0.01278,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.018693,             0.01047,                   0,             0.90855,             0.94678,             0.96367,             0.58995,            0.030197,            0.012874,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.018955,            0.010392,                   0,             0.95694,             0.92437,             0.97367,             0.60018,            0.029902,            0.012719,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.019136,            0.010226,                   0,             0.96232,             0.93277,             0.97445,             0.59858,            0.029596,            0.012757,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.018557,           0.0099482,                   0,             0.94365,             0.93818,             0.97634,             0.60385,            0.029716,            0.013191,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.018395,           0.0099525,                   0,              0.9515,             0.93422,             0.97117,             0.59262,             0.03014,            0.013263,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.017997,            0.010253,                   0,             0.95983,             0.93704,             0.97687,             0.60059,             0.02974,            0.012975,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.018106,            0.010316,                   0,             0.96186,             0.92437,             0.97121,             0.59704,             0.02946,            0.012913,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.018042,           0.0098778,                   0,             0.96229,             0.91877,             0.97634,             0.59748,            0.029565,            0.012938,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.018015,            0.009665,                   0,             0.92516,             0.94678,             0.96974,             0.59422,            0.030154,            0.013661,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.017461,           0.0098683,                   0,             0.92508,             0.96639,             0.97775,             0.59833,            0.029559,            0.013079,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.017153,            0.010108,                   0,             0.92737,              0.9657,             0.97865,             0.60434,            0.029662,            0.013304,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.01682,           0.0094105,                   0,             0.91428,             0.95609,             0.97237,             0.59666,            0.029839,            0.013487,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.016752,           0.0095316,                   0,             0.96923,             0.91036,             0.97723,             0.59263,            0.029917,            0.013742,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.016347,           0.0091151,                   0,             0.94097,             0.93766,              0.9744,             0.60469,            0.029703,            0.013478,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.016482,           0.0092823,                   0,             0.94114,             0.94058,             0.97124,             0.59806,            0.029903,            0.013756,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.016574,           0.0092927,                   0,             0.94401,             0.94462,             0.97424,             0.59944,            0.030062,            0.013624,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.016599,           0.0096676,                   0,             0.94332,             0.94398,             0.96716,             0.59596,            0.030051,            0.013589,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.015471,           0.0086073,                   0,             0.94284,             0.93277,             0.97164,              0.5944,            0.030115,             0.01379,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.015621,           0.0089896,                   0,             0.94137,             0.94678,             0.97496,             0.60301,            0.029928,            0.013769,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.015384,           0.0084344,                   0,             0.93046,             0.94398,             0.96743,             0.60144,            0.029821,            0.013808,                   0,            0.001981,            0.001981,            0.001981
