               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092812,            0.037692,                   0,             0.53529,              0.5453,             0.48176,             0.14151,            0.060171,            0.025889,                   0,            0.070455,           0.0032828,           0.0032828
                   1,            0.064099,            0.028008,                   0,             0.36861,              0.7507,             0.41166,             0.13436,            0.065753,            0.015097,                   0,            0.040324,           0.0064852,           0.0064852
                   2,             0.05859,            0.022518,                   0,             0.84147,             0.71148,             0.83518,             0.37596,             0.05216,            0.014075,                   0,            0.010061,           0.0095555,           0.0095555
                   3,            0.054002,            0.019384,                   0,             0.83746,             0.88796,             0.89121,              0.3875,            0.046481,             0.01341,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.046997,            0.018118,                   0,             0.81409,             0.87091,             0.90142,              0.4352,            0.039394,            0.012513,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.043542,            0.016543,                   0,             0.90042,             0.91181,             0.94707,             0.45604,            0.041712,            0.012094,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.040936,             0.01632,                   0,             0.88415,             0.84314,             0.89822,             0.43764,            0.038852,            0.015019,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.038678,            0.015991,                   0,             0.94158,             0.87955,             0.94018,             0.49022,            0.034765,            0.013462,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.03764,            0.015848,                   0,             0.93553,             0.93494,             0.95031,             0.44561,            0.036228,            0.012245,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.036951,            0.015633,                   0,             0.92102,             0.93277,             0.96827,             0.51149,            0.033703,            0.011767,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.036105,            0.015179,                   0,             0.94669,             0.94511,             0.97818,             0.55413,            0.031813,            0.011377,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.033967,            0.015717,                   0,             0.95851,             0.94118,             0.97868,             0.54774,            0.032061,            0.011495,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.034304,            0.015299,                   0,             0.94695,             0.95003,             0.97374,             0.53932,            0.033222,            0.012046,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.033508,            0.015341,                   0,             0.95006,             0.95518,             0.97983,             0.57444,            0.030835,            0.011355,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.031045,            0.014908,                   0,              0.9123,             0.96359,             0.97351,             0.55614,            0.032357,            0.011812,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.031454,            0.014629,                   0,             0.92402,             0.96078,             0.96958,             0.53971,             0.03173,            0.011198,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.031493,            0.014403,                   0,             0.93338,             0.94678,             0.97019,             0.57891,            0.030287,            0.011639,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.029623,            0.014484,                   0,             0.98023,             0.90196,             0.96301,             0.53641,            0.033189,            0.012889,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.030053,            0.014894,                   0,             0.93877,             0.94489,             0.96352,             0.54186,             0.03363,            0.012403,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.029794,            0.013837,                   0,             0.94707,             0.95798,             0.97797,             0.57747,            0.029434,            0.011306,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.028858,            0.014354,                   0,             0.95405,             0.95238,             0.97703,             0.58905,            0.029672,            0.011282,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.029326,            0.013729,                   0,             0.96243,             0.93285,             0.96817,              0.5372,            0.032958,            0.012252,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.028478,            0.013224,                   0,             0.94082,             0.94678,             0.97466,             0.59104,             0.03061,            0.011609,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.028613,            0.014052,                   0,             0.95399,             0.92924,              0.9729,             0.59283,            0.029441,            0.011718,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.027812,            0.013181,                   0,             0.95996,             0.94031,             0.97272,             0.57449,            0.030869,            0.012234,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.026949,            0.013157,                   0,             0.95366,             0.95798,             0.97468,             0.59437,            0.030118,            0.011954,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.02672,            0.012939,                   0,             0.94994,              0.9568,             0.97759,             0.58838,            0.029168,            0.011428,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.026649,            0.012745,                   0,             0.95232,             0.94398,             0.96372,              0.5852,            0.030318,            0.012582,                   0,            0.004852,            0.004852,            0.004852
