               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  28,             0.02596,            0.012769,                   0,             0.94121,             0.94118,             0.96899,             0.58231,            0.030032,            0.012098,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.025693,            0.013117,                   0,             0.93442,             0.95796,             0.97302,             0.58816,            0.029876,            0.012138,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.025362,            0.013003,                   0,             0.95317,             0.94958,             0.97628,             0.60242,            0.029093,            0.011784,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.024615,            0.011828,                   0,             0.95217,             0.94795,             0.97142,             0.59789,             0.02957,            0.011944,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.024919,            0.013122,                   0,             0.93895,             0.94784,             0.97035,             0.59863,            0.029609,            0.012032,                   0,            0.003862,            0.003862,            0.003862
                  33,             0.02396,            0.012413,                   0,              0.9157,             0.96078,             0.96744,             0.56546,            0.029973,            0.012236,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.024225,            0.012489,                   0,             0.94132,             0.92997,             0.96144,             0.57647,             0.03061,            0.012552,                   0,            0.003466,            0.003466,            0.003466
                  35,             0.02334,            0.012004,                   0,             0.95711,             0.93762,             0.97429,             0.58704,            0.029323,             0.01181,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.023225,            0.011796,                   0,             0.94822,             0.94678,             0.96761,              0.5907,             0.02974,            0.012327,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.022787,             0.01223,                   0,             0.93645,             0.94938,             0.96668,             0.58668,            0.029666,            0.012034,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.022419,            0.011888,                   0,             0.93907,             0.94984,             0.97556,             0.58852,            0.029837,            0.012482,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.022152,            0.011694,                   0,             0.91992,              0.9653,             0.97146,             0.59529,            0.029398,            0.012132,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.022328,            0.011531,                   0,             0.94707,             0.94118,             0.97592,             0.58832,            0.030073,            0.012416,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.021314,            0.011293,                   0,              0.9522,             0.94868,             0.97741,             0.58909,             0.02969,            0.012309,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.021271,            0.011462,                   0,             0.95229,             0.95047,             0.97329,             0.59162,            0.029811,              0.0122,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.021012,             0.01098,                   0,             0.94472,             0.95746,              0.9749,             0.59558,            0.029312,            0.012195,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.020986,            0.011493,                   0,             0.94204,             0.95611,             0.97396,             0.59509,            0.029462,            0.012222,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.020229,            0.011341,                   0,             0.93985,             0.95518,             0.97411,             0.59301,            0.029574,             0.01231,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.020396,              0.0108,                   0,             0.94365,             0.95238,             0.97699,             0.59469,            0.029584,            0.012236,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.020259,            0.011256,                   0,             0.94781,             0.95518,             0.97832,             0.59254,            0.029595,            0.012189,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.01994,            0.010739,                   0,             0.94434,              0.9504,             0.97472,             0.59617,            0.029476,            0.012235,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.019586,            0.010903,                   0,              0.9447,               0.957,             0.97455,              0.5986,            0.029425,            0.012329,                   0,            0.000496,            0.000496,            0.000496
